TaxiID;Line;PassengersLoaded;TotalDistance;NodesHit;LoadAVG;LoadMax;Standstill;
231;148;3515;9466938,0265886;8401;3,7603;8;0;
232;148;3293;9466938,026588602;8401;3,3314;8;0;
233;148;3647;9466938,0265886;8401;3,9644;8;0;
234;148;3450;9466938,026588604;8401;3,2657;8;0;
235;148;3231;9466938,026588602;8401;3,2612;8;0;
236;148;3564;9466938,026588602;8401;3,8385;8;0;
237;148;3390;9466938,026588602;8401;3,1986;8;0;
238;148;3644;9466938,026588602;8401;3,944;8;0;
239;148;3545;9466938,0265886;8401;3,7766;8;0;
240;148;3683;9466938,026588602;8401;4,3828;8;0;
241;148;3621;9466938,026588602;8401;4,007;8;0;
242;148;3806;9466938,026588602;8401;4,7166;8;0;
243;148;3703;9466938,0265886;8401;4,5564;8;0;
244;148;3917;9466938,026588602;8401;5,0221;8;0;
245;148;3863;9466938,0265886;8401;4,9147;8;0;
246;148;4560;9466938,026588604;8401;5,4644;8;0;
247;148;4482;9466938,026588602;8401;5,3759;8;0;
248;52;741;9597727,576652903;8001;0,0818;4;0;
249;52;707;9597727,576652903;8001;0,0786;3;0;
250;105;2774;8057065,909390339;7274;1,2571;8;0;
251;105;4777;8056423,757239148;7274;2,2289;8;0;
252;105;2501;8056239,037837028;7274;1,1189;8;0;
253;160;3510;5192655,629637736;10001;2,4836;8;0;
254;160;3582;5192746,451958895;10001;2,5506;8;0;
255;160;3491;5192346,840821326;10001;2,5083;8;0;
256;160;3438;5191786,888879585;10001;2,437;8;0;
257;160;3508;5191771,875548296;10001;2,4467;8;0;
258;160;3472;5192282,309956342;10001;2,5268;8;0;
259;160;3375;5192569,894186492;10001;2,3513;8;0;
260;160;3502;5192518,844984077;10001;2,4695;8;0;
261;160;984;5192610,890822727;10001;0,7052;8;0;
262;160;925;5192268,540021112;10001;0,6284;7;0;
263;91;9426;8209875,68691393;10001;2,4404;8;0;
264;91;13554;8209875,686913929;10001;3,6246;8;0;
265;91;10040;8209875,686913931;10001;2,5485;8;0;
266;143;2878;6235607,379625547;8948;4,418;8;0;
267;143;2844;6238095,608193165;8948;4,5008;8;0;
268;143;2788;6236101,426355197;8948;4,5158;8;0;
269;143;2859;6237698,443174236;8947;4,5588;8;0;
270;143;2858;6235918,882143232;8947;4,7328;8;0;
271;143;2860;6238989,993879239;8947;4,7502;8;0;
272;143;3026;6236174,81566103;8947;5,0182;8;0;
273;143;2860;6239337,528451988;8947;4,8487;8;0;
274;143;2850;6236915,537627691;8948;4,7384;8;0;
275;143;2915;6240566,833349807;8947;4,9581;8;0;
276;143;2962;6236854,606670227;8948;5,0949;8;0;
277;143;3031;6240439,621059036;8947;5,2577;8;0;
278;143;2872;6236139,071313765;8949;4,808;8;0;
279;143;2963;6239504,731384364;8948;5,1993;8;0;
280;143;2817;6235790,166866778;8949;4,8434;8;0;
281;143;2850;6239361,781359964;8949;4,9674;8;0;
282;143;2869;6234747,222451345;8949;4,9468;8;0;
283;143;2869;6239731,43294937;8949;5,0232;8;0;
284;143;2869;6234860,6797508355;8949;4,9693;8;0;
285;143;2899;6238674,009168366;8949;5,0686;8;0;
286;143;2926;6234962,369419893;8949;5,0823;8;0;
287;143;2962;6238510,058461409;8949;5,1789;8;0;
288;143;2879;6235340,424628666;8949;5,1094;8;0;
289;143;2993;6238441,833803406;8949;5,2102;8;0;
290;143;3020;6235416,319947038;8949;5,1888;8;0;
291;143;3243;6238516,6288115075;8949;5,347;8;0;
292;143;3132;6234735,264015156;8949;5,3313;8;0;
293;143;3314;6238550,470200581;8949;5,4853;8;0;
294;143;3251;6234849,728082469;8949;5,4745;8;0;
295;143;3490;6238494,872981694;8949;5,6572;8;0;
296;143;3468;6234735,264015156;8949;5,5869;8;0;
297;143;3667;6238550,470200581;8949;5,8472;8;0;
298;143;3654;6235416,319947038;8949;5,7912;8;0;
299;143;3935;6238516,628811507;8949;6,1111;8;0;
300;143;3902;6235340,424628665;8949;6,0962;8;0;
301;163;2500;5467630,933687505;10001;1,0672;8;0;
302;163;2456;5466902,304409022;10001;1,0489;8;0;
303;163;2422;5468388,33247627;10001;1,0368;8;0;
304;163;2403;5466779,218541124;10001;1,0436;8;0;
305;163;1823;5467940,541544713;10001;0,808;7;0;
306;163;1842;5466599,417894443;10001;0,7915;8;0;
307;21;4896;6519626,69521504;4546;3,5691;8;0;
308;21;4660;6519626,143759324;4546;3,441;8;0;
309;21;2879;6520048,818166791;4546;1,9216;8;0;
310;21;1832;6519204,020807573;4546;1,2327;8;0;
311;43;6544;6039360,855420792;5626;2,7996;8;0;
312;43;4528;6039360,080271023;5626;1,9653;8;0;
313;43;4821;6042310,69781481;5628;2,114;8;0;
314;43;5005;6035923,464380173;5623;2,1702;8;0;
315;43;778;6039032,396621545;5626;0,354;8;0;
316;43;4044;6035923,460810554;5623;1,6485;8;0;
317;137;2908;7864326,927175569;10001;1,0076;8;0;
318;137;2869;7862698,198027626;10001;0,9884;8;0;
319;137;1523;7862098,903684579;10001;0,5284;6;0;
320;137;1513;7865356,361980467;10001;0,5249;7;0;
321;118;2930;3990415,554049713;6669;0,9541;8;0;
322;118;4346;3989046,0143112633;6665;1,4255;8;0;
323;118;1562;3990413,596753692;6669;0,5041;8;0;
324;168;3940;6461997,52792771;10001;1,6038;8;0;
325;168;3961;6460899,539337066;10001;1,5995;8;0;
326;168;4008;6461731,955472183;10001;1,6096;8;0;
327;168;3946;6460916,693033538;10001;1,6073;8;0;
328;168;1050;6461997,527927709;10001;0,4048;5;0;
329;168;932;6460899,539337066;10001;0,3812;6;0;
330;4;3121;8219740,3551251;7142;1,0683;8;0;
331;4;1790;8223135,078728506;7145;0,6149;8;0;
332;4;2223;8221792,750527319;7144;0,7528;7;0;
333;4;2275;8221950,857240429;7144;0,7912;8;0;
334;4;876;8223309,629920087;7145;0,3065;5;0;
335;4;2155;8219827,545268864;7142;0,721;8;0;
336;62;4011;8199427,223119887;7779;1,3366;8;0;
337;62;2572;8199015,071697613;7778;0,833;8;0;
338;62;2095;8199777,9092768235;7780;0,7052;7;0;
339;62;3409;8199909,72004655;7777;1,1184;8;0;
340;20;5085;7190112,9983499665;6365;2,9969;8;0;
341;20;4812;7188527,800581145;6365;2,8239;8;0;
342;20;4715;7187580,114350381;6364;2,7485;8;0;
343;20;4918;7187684,558115799;6364;2,8071;8;0;
344;20;5137;7187960,1438304605;6364;2,943;8;0;
345;20;4811;7189053,123770552;6364;2,8202;8;0;
346;20;3278;7187514,983257415;6364;1,9277;8;0;
347;20;3870;7188389,082426708;6363;2,3328;8;0;
348;30;2851;4120684,0710966764;3126;2,1859;8;0;
349;30;2027;4120682,7093935297;3126;1,5025;8;0;
350;30;187;4120895,127934606;3126;0,1391;5;0;
351;30;1162;4117083,5619295235;3123;0,8203;8;0;
352;40;2276;1,2431108893364264E7;10001;0,5149;7;0;
353;40;2470;1,2431108893364264E7;10001;0,5571;6;0;
354;40;390;1,2431108893364266E7;10001;0,0888;3;0;
355;40;364;1,2431108893364264E7;10001;0,0844;3;0;
356;14;2310;6794777,995360914;5001;0,4606;8;0;
357;14;2943;6794777,995360915;5001;0,5995;8;0;
358;64;3127;6579215,165004931;7779;2,7659;8;0;
359;64;3065;6579226,817771552;7778;2,4297;8;0;
360;64;3183;6578159,7857054705;7778;2,897;8;0;
361;64;3235;6579444,655758889;7778;2,8089;8;0;
362;64;3328;6579078,522743621;7778;3,1938;8;0;
363;64;3329;6578920,965625567;7778;3,1373;8;0;
364;64;3383;6578658,145248362;7778;3,264;8;0;
365;64;3463;6579941,6372600645;7778;3,6679;8;0;
366;64;3519;6578984,625058933;7778;3,636;8;0;
367;64;3582;6578595,617921968;7778;3,8149;8;0;
368;64;3720;6580166,898922851;7778;4,0049;8;0;
369;64;3957;6578445,857876466;7778;4,2668;8;0;
370;64;3672;6580081,446488965;7779;4,1076;8;0;
371;64;3555;6579246,033214601;7779;3,6494;8;0;
372;64;3620;6579246,079230434;7779;4,0076;8;0;
373;64;3570;6580081,458010497;7779;3,897;8;0;
374;64;3758;6578929,924915452;7778;4,3598;8;0;
375;64;3691;6579186,979794176;7778;4,1045;8;0;
376;64;3762;6578445,8777111685;7778;4,5472;8;0;
377;64;3717;6580166,884573185;7778;4,4357;8;0;
378;64;4917;6578595,637756671;7778;5,2109;8;0;
379;64;5003;6578984,610709267;7778;5,2596;8;0;
380;111;3827;8622034,000716472;10001;1,4279;8;0;
381;111;3968;8623448,660885124;10001;1,4661;8;0;
382;111;2791;8623983,802684251;10001;1,0218;8;0;
383;111;2838;8622167,853883432;10001;1,0439;8;0;
384;38;3283;5969150,566748914;8183;1,7288;8;0;
385;38;2737;5969301,168829102;8183;1,4881;8;0;
386;38;3281;5969552,845593103;8183;1,7703;8;0;
387;38;3840;5969289,529854248;8182;2,0531;8;0;
388;38;677;5969150,583771838;8183;0,3504;6;0;
389;38;721;5969301,1518061785;8183;0,4048;8;0;
