PassID;Happiness;Waiting;Switches;InitPickup;TripTime;Denied;
8159;12,000010409486293;8;0;8;9;0;
8522;6,000012439511297;4;0;4;2;0;
5129;10,500006537766739;7;0;7;1;0;
8423;10,50000899147377;7;0;7;9;0;
1553;19,500012439511295;13;0;13;2;0;
1259;5,500032079819339;21;1;3;26;0;
4245;14,50007311995245;18;1;9;11;0;
4768;27,000012439511295;18;0;18;2;0;
9810;24,000009844518353;16;0;16;1;0;
9284;15,00000899147377;10;0;10;9;0;
3786;15,000010409486293;10;0;10;9;0;
7762;16,50000899147377;11;0;11;9;0;
9299;6,000008991473769;4;0;4;9;0;
8719;25,50000653776674;17;0;17;1;0;
9687;22,500011738936518;15;0;15;8;0;
4318;2,8284603710463707;17;2;0;26;0;
3259;8,500139592636497;24;1;5;21;0;
8536;10,00003207981934;24;1;6;26;0;
9614;16,000027144462518;24;1;10;22;0;
5871;10,500011738936518;7;0;7;8;0;
6741;22,500010409486293;15;0;15;9;0;
2398;12,000009844518353;8;0;8;1;0;
9899;10,500006537766739;7;0;7;1;0;
429;13,500006537766739;9;0;9;1;0;
6134;19,500012342190324;13;0;13;1;0;
8852;21,000012439511295;14;0;14;2;0;
4464;10,000145957279177;19;1;6;16;0;
8139;10,500012439511297;7;0;7;2;0;
8830;25,000145957279177;29;1;16;16;0;
6815;15,000009844518353;10;0;10;1;0;
3376;1,0407846656058854E-5;0;0;0;10;0;
2693;19,500010407846656;13;0;13;10;0;
2401;5,500012338392054;5;1;3;10;0;
5373;9,00000899147377;6;0;6;9;0;
7743;4,500008991473769;3;0;3;9;0;
6445;13,500011738936518;9;0;9;8;0;
4759;25,500010407846656;17;0;17;10;0;
3939;10,500010407846656;7;0;7;10;0;
4298;27,000010407846656;18;0;18;10;0;
7298;18,000011738936518;12;0;12;8;0;
7547;1,5000065377667386;1;0;1;1;0;
6352;21,000010407846656;14;0;14;10;0;
5446;7,500008991473769;5;0;5;9;0;
852;13,50000899147377;9;0;9;9;0;
4088;12,000010409486293;8;0;8;9;0;
5521;19,500011738936518;13;0;13;8;0;
7141;14,500020936206425;19;1;9;26;0;
392;9,000009595973832;6;0;6;7;0;
6474;18,000010407846656;12;0;12;10;0;
277;26,50020606532054;46;1;17;31;1;
2813;5,50002415716126;17;1;3;30;0;
7602;4,500009844518352;3;0;3;1;0;
7818;7,000032079819339;22;1;4;26;0;
6908;12,000010407846656;8;0;8;10;0;
8341;9,000012342190324;6;0;6;1;0;
3602;9,000009415258344;6;0;6;8;0;
6178;18,000011738936518;12;0;12;8;0;
6223;7,000046530878832;9;1;4;7;0;
5650;13,000072978639588;13;1;8;8;0;
634;3,000009415258344;2;0;2;8;0;
3472;18,000012342190324;12;0;12;1;0;
6679;13,500009415258344;9;0;9;8;0;
316;3,0000117389365184;2;0;2;8;0;
4435;2,500020936206425;11;1;1;26;0;
1894;4,000192770783733;29;1;2;29;1;
3201;6,000009844518352;4;0;4;1;0;
9353;4,500010407846656;3;0;3;10;0;
54;9,00000899147377;6;0;6;9;0;
5437;1,5000117389365184;1;0;1;8;0;
7655;10,500011738936518;7;0;7;8;0;
4368;27,000010407846656;18;0;18;10;0;
6906;1,2439511296362774E-5;0;0;0;2;0;
5750;22,50000653776674;15;0;15;1;0;
4826;4,500006537766739;3;0;3;1;0;
3564;1,2342190323095865E-5;0;0;0;1;0;
8678;12,000011738936518;8;0;8;8;0;
401;1,5000065377667386;1;0;1;1;0;
8564;17,82846804326949;33;2;10;32;0;
773;16,500012439511295;11;0;11;2;0;
1764;9,00000899147377;6;0;6;9;0;
8644;1,2342190323095865E-5;0;0;0;1;0;
2358;44,50008641448926;40;1;29;13;1;
9656;1,0407846656058854E-5;0;0;0;10;0;
1729;25,500012439511295;17;0;17;2;0;
961;25,50000899147377;17;0;17;9;0;
3095;13,500012439511297;9;0;9;2;0;
9184;3,000008991473769;2;0;2;9;0;
4525;1,5000098445183518;1;0;1;1;0;
3745;16,500010409486293;11;0;11;9;0;
1945;21,000009595973832;14;0;14;7;0;
2991;4,500006537766739;3;0;3;1;0;
5606;15,000009415258344;10;0;10;8;0;
241;25,50000653776674;17;0;17;1;0;
1453;19,500012439511295;13;0;13;2;0;
6291;24,000010409486293;16;0;16;9;0;
8218;6,0000095959738315;4;0;4;7;0;
5554;21,00000653776674;14;0;14;1;0;
9533;19,500010407846656;13;0;13;10;0;
1051;20,500027144462518;27;1;13;22;0;
6358;27,000010407846656;18;0;18;10;0;
9470;13,500009595973832;9;0;9;7;0;
1749;14,500014494296755;11;1;9;18;0;
6708;17,82847571549261;39;2;10;38;1;
5916;15,000011738936518;10;0;10;8;0;
8535;4,500006537766739;3;0;3;1;0;
4261;17,50008641448926;22;1;11;13;0;
8625;19,500009595973832;13;0;13;7;0;
9351;9,595973831724143E-6;0;0;0;7;0;
6717;16,500009415258344;11;0;11;8;0;
5305;21,000009595973832;14;0;14;7;0;
1239;11,50002415716126;21;1;7;30;0;
4393;8,500012338392054;7;1;5;10;0;
1591;8,500014494296757;7;1;5;18;0;
3943;4,500010407846656;3;0;3;10;0;
4570;13,00025542523856;33;1;8;28;1;
7214;21,000009415258344;14;0;14;8;0;
9100;21,00000653776674;14;0;14;1;0;
6693;8,991473769213047E-6;0;0;0;9;0;
1508;16,00003701517616;32;1;10;30;1;
3816;15,000012439511297;10;0;10;2;0;
7931;24,000010409486293;16;0;16;9;0;
7941;22,500010409486293;15;0;15;9;0;
9865;1,5000124395112964;1;0;1;2;0;
8943;4,500012439511297;3;0;3;2;0;
2455;15,000009844518353;10;0;10;1;0;
4669;1,5000095959738318;1;0;1;7;0;
3656;9,000011738936518;6;0;6;8;0;
5892;3,0000117389365184;2;0;2;8;0;
2868;27,000010407846656;18;0;18;10;0;
635;1,5000094152583439;1;0;1;8;0;
186;2,8284731580849014;27;2;0;36;0;
5455;16,500009844518353;11;0;11;1;0;
5861;1,5000117389365184;1;0;1;8;0;
