TaxiID;Line;PassengersLoaded;TotalDistance;NodesHit;LoadAVG;LoadMax;Standstill;
113;60;6441;6240831,219242237;10001;5,2182;8;0;
114;60;6345;6241344,500706618;10001;5,2575;8;0;
115;60;7154;6241344,500706621;10001;5,9841;8;0;
116;60;7093;6240831,219242234;10001;5,9999;8;0;
117;60;8755;6241558,715349952;10001;6,6739;8;0;
118;60;8730;6240504,867362445;10001;6,6337;8;0;
119;35;3015;9623166,253402246;8334;0,9554;8;0;
120;35;3496;9623141,645422999;8334;1,1083;8;0;
121;35;1418;9621621,948218705;8334;0,4481;7;0;
122;35;1917;9621640,16482269;8334;0,6003;7;0;
123;67;6076;5092968,9660552265;10001;2,5806;8;0;
124;67;11315;5092968,9660552265;10001;4,7856;8;0;
125;67;6894;5092968,9660552265;10001;2,9099;8;0;
126;84;5172;5545970,186704613;10001;1,1806;8;0;
127;84;4471;5545970,186704613;10001;0,9779;8;0;
128;82;3308;5908076,217883193;10001;2,3346;8;0;
129;82;3344;5908728,905319927;10001;2,3488;8;0;
130;82;2646;5908844,483443813;10001;1,7931;8;0;
131;82;2662;5907901,799697338;10001;1,8485;8;0;
132;82;2680;5908561,261256708;10001;1,8564;8;0;
133;82;2732;5908764,945181352;10001;1,8672;8;0;
134;82;1088;5908042,703337676;10001;0,7154;6;0;
135;82;1018;5908215,328107855;10001;0,6812;6;0;
136;88;4923;5425236,58198252;6876;4,0729;8;0;
137;88;2622;5425237,504004345;6876;2,1803;8;0;
138;88;2617;5424719,994092752;6880;2,126;8;0;
139;88;3482;5423132,07679161;6872;2,7907;8;0;
140;88;2068;5425682,94568383;6878;1,6345;8;0;
141;88;5176;5425211,575545036;6871;4,2852;8;0;
